iter	Passed	Remaining
0	0	20
1	0	20
2	0	19
3	0	19
4	0	18
5	1	18
6	1	18
7	1	18
8	1	17
9	1	17
10	2	17
11	2	17
12	2	17
13	2	17
14	2	16
15	3	16
16	3	16
17	3	16
18	3	16
19	4	16
20	4	18
21	5	18
22	5	18
23	5	17
24	5	17
25	6	17
26	6	17
27	6	16
28	6	16
29	7	16
30	7	16
31	7	16
32	7	15
33	8	15
34	8	16
35	9	16
36	9	15
37	9	15
38	9	15
39	9	14
40	10	14
41	10	13
42	10	13
43	10	13
44	10	13
45	10	12
46	11	12
47	11	12
48	11	12
49	11	11
50	11	11
51	12	11
52	12	10
53	12	10
54	12	10
55	12	10
56	13	9
57	13	9
58	13	9
59	13	9
60	14	9
61	14	8
62	14	8
63	14	8
64	15	8
65	15	8
66	15	7
67	16	7
68	16	7
69	16	7
70	16	6
71	17	6
72	17	6
73	17	6
74	17	5
75	18	5
76	18	5
77	18	5
78	18	5
79	19	4
80	19	4
81	19	4
82	20	4
83	20	3
84	20	3
85	20	3
86	21	3
87	21	2
88	21	2
89	22	2
90	22	2
91	23	2
92	23	1
93	23	1
94	23	1
95	24	1
96	24	0
97	24	0
98	25	0
99	25	0
